name,price
NTPC,286.45
ADANIPORTS,1048.00
POWERGRID,231.80
JSWSTEEL,824.80
HINDALCO,519.50
LT,3377.00
APOLLOHOSP,5495.00
UPL,590.00
LTIM,5599.00
TECHM,1230.00
ADANIENT,2902.70
TCS,3633.00
ONGC,199.85
BPCL,476.90
HEROMOTOCO,3788.00
ITC,459.95
HCLTECH,1333.00
M&M,1699.00
BAJAJ-AUTO,6115.00
INDUSINDBK,1510.00
TATACONSUM,960.00
HDFCLIFE,680.45
MARUTI,10730.00
INFY,1470.40
RELIANCE,2463.85
ULTRACEMCO,9378.30
EICHERMOT,4100.00
CIPLA,1225.00
BRITANNIA,5024.00
WIPRO,418.80
DIVISLAB,3739.00
TATASTEEL,130.15
ASIANPAINT,3255.00
NESTLEIND,24995.00
BAJAJFINSV,1705.00
HINDUNILVR,2519.00
COALINDIA,352.00
TATAMOTORS,722.05
HDFCBANK,1630.45
KOTAKBANK,1826.85
DRREDDY,5784.85
BAJFINANCE,7390.55
SBILIFE,1455.00
GRASIM,2080.00
BHARTIARTL,998.70
AXISBANK,1115.85
SUNPHARMA,1236.05
SBIN,610.00
TITAN,3575.00
ICICIBANK,994.50
